Date/Time,Base,count
2014-07-18,B02617,12151
2014-07-18,B02682,7308
2014-07-18,B02764,284
2014-07-19,B02512,946
2014-07-19,B02598,7848
2014-07-19,B02617,10412
2014-07-19,B02682,6302
2014-07-19,B02764,218
2014-07-20,B02512,850
2014-07-20,B02598,6342
2014-07-20,B02617,8688
2014-07-20,B02682,5155
2014-07-20,B02764,177
2014-07-21,B02512,1002
2014-07-21,B02598,6837
2014-07-21,B02617,9699
2014-07-21,B02682,5725
2014-07-21,B02764,315
2014-07-22,B02512,1345
2014-07-22,B02598,8541
2014-07-22,B02617,11847
2014-07-22,B02682,6981
2014-07-22,B02764,315
2014-07-23,B02512,1584
2014-07-23,B02598,10104
2014-07-23,B02617,13873
2014-07-23,B02682,8106
2014-07-23,B02764,406
2014-07-24,B02512,1313
2014-07-24,B02598,9803
2014-07-24,B02617,13171
2014-07-24,B02682,7408
2014-07-24,B02764,355
2014-07-25,B02512,1265
2014-07-25,B02598,8909
2014-07-25,B02617,12466
2014-07-25,B02682,7021
2014-07-25,B02764,314
2014-07-26,B02512,1121
2014-07-26,B02598,8463
2014-07-26,B02617,11634
2014-07-26,B02682,6230
2014-07-26,B02764,260
2014-07-27,B02512,749
2014-07-27,B02598,6725
2014-07-27,B02617,9749
2014-07-27,B02682,5184
2014-07-27,B02764,183
2014-07-28,B02512,1240
2014-07-28,B02598,6828
2014-07-28,B02617,10201
2014-07-28,B02682,5509
2014-07-28,B02764,203
2014-07-29,B02512,1340
2014-07-29,B02598,7969
2014-07-29,B02617,11735
2014-07-29,B02682,6275
2014-07-29,B02764,270
2014-07-30,B02512,1334
2014-07-30,B02598,8883
2014-07-30,B02617,13030
2014-07-30,B02682,7174
2014-07-30,B02764,319
2014-07-31,B02512,1451
2014-07-31,B02598,9844
2014-07-31,B02617,14040
2014-07-31,B02682,7804
2014-07-31,B02764,402
2014-08-01,B02512,1342
2014-08-01,B02598,9392
2014-08-01,B02617,13810
2014-08-01,B02682,7433
2014-08-01,B02764,376
2014-08-02,B02512,1062
2014-08-02,B02598,8208
2014-08-02,B02617,12752
2014-08-02,B02682,6300
2014-08-02,B02764,356
2014-08-03,B02512,914
2014-08-03,B02598,6293
2014-08-03,B02617,10394
2014-08-03,B02682,5246
2014-08-03,B02764,299
2014-08-04,B02512,1145
2014-08-04,B02598,6824
2014-08-04,B02617,11121
2014-08-04,B02682,5489
2014-08-04,B02764,373
2014-08-05,B02512,1167
2014-08-05,B02598,7624
2014-08-05,B02617,12611
2014-08-05,B02682,6230
2014-08-05,B02764,462
2014-08-06,B02512,1314
2014-08-06,B02598,8587
2014-08-06,B02617,13282
2014-08-06,B02682,6748
2014-08-06,B02764,564
2014-08-07,B02512,1400
2014-08-07,B02598,9175
2014-08-07,B02617,14214
2014-08-07,B02682,7288
2014-08-07,B02764,682
2014-08-08,B02512,1173
2014-08-08,B02598,8633
2014-08-08,B02617,13198
2014-08-08,B02682,6652
2014-08-08,B02764,755
2014-08-09,B02512,923
2014-08-09,B02598,7387
2014-08-09,B02617,11704
2014-08-09,B02682,5429
2014-08-09,B02764,843
2014-08-10,B02512,770
2014-08-10,B02598,5481
2014-08-10,B02617,9367
2014-08-10,B02682,4389
2014-08-10,B02764,577
2014-08-11,B02512,909
2014-08-11,B02598,6089
2014-08-11,B02617,9996
2014-08-11,B02682,4876
2014-08-11,B02764,762
2014-08-12,B02512,1387
2014-08-12,B02598,7939
2014-08-12,B02617,12969
2014-08-12,B02682,6196
2014-08-12,B02764,1155
2014-08-13,B02512,1180
2014-08-13,B02598,8103
2014-08-13,B02617,12945
2014-08-13,B02682,6341
2014-08-13,B02764,1219
2014-08-14,B02512,1147
2014-08-14,B02598,8433
2014-08-14,B02617,13232
2014-08-14,B02682,6250
2014-08-14,B02764,1395
2014-08-15,B02512,1051
2014-08-15,B02598,7901
2014-08-15,B02617,12469
2014-08-15,B02682,5966
2014-08-15,B02764,1587
2014-08-16,B02512,861
2014-08-16,B02598,6948
2014-08-16,B02617,11514
2014-08-16,B02682,5343
2014-08-16,B02764,1568
2014-08-17,B02512,823
2014-08-17,B02598,5318
2014-08-17,B02617,9434
2014-08-17,B02682,4425
2014-08-17,B02764,1209
2014-08-18,B02512,898
2014-08-18,B02598,5477
2014-08-18,B02617,9629
2014-08-18,B02682,4491
2014-08-18,B02764,1461
2014-08-19,B02512,1024
2014-08-19,B02598,6664
2014-08-19,B02617,10544
2014-08-19,B02682,4831
2014-08-19,B02764,1771
2014-08-20,B02512,1092
2014-08-20,B02598,7310
2014-08-20,B02617,11940
2014-08-20,B02682,5627
2014-08-20,B02764,1986
2014-08-21,B02512,1203
2014-08-21,B02598,8523
2014-08-21,B02617,13646
2014-08-21,B02682,6639
2014-08-21,B02764,2293
2014-08-22,B02512,1032
2014-08-22,B02598,7688
2014-08-22,B02617,12361
2014-08-22,B02682,5965
2014-08-22,B02764,2466
2014-08-23,B02512,879
2014-08-23,B02598,6852
2014-08-23,B02617,11355
2014-08-23,B02682,5449
2014-08-23,B02764,2562
2014-08-24,B02512,769
2014-08-24,B02598,5631
2014-08-24,B02617,9475
2014-08-24,B02682,4329
2014-08-24,B02764,1832
2014-08-25,B02512,777
2014-08-25,B02598,5521
2014-08-25,B02617,9266
2014-08-25,B02682,4445
2014-08-25,B02764,2084
2014-08-26,B02512,943
2014-08-26,B02598,6015
2014-08-26,B02617,9952
2014-08-26,B02682,5198
2014-08-26,B02764,2442
2014-08-27,B02512,930
2014-08-27,B02598,6828
2014-08-27,B02617,11047
2014-08-27,B02682,5553
2014-08-27,B02764,2660
2014-08-28,B02512,959
2014-08-28,B02598,7126
2014-08-28,B02617,11663
2014-08-28,B02682,5654
2014-08-28,B02764,3195
2014-08-29,B02512,936
2014-08-29,B02598,6819
2014-08-29,B02617,10910
2014-08-29,B02682,5437
2014-08-29,B02764,3322
2014-08-30,B02512,724
2014-08-30,B02598,5756
2014-08-30,B02617,9445
2014-08-30,B02682,4719
2014-08-30,B02764,3286
2014-08-31,B02512,738
2014-08-31,B02598,5584
2014-08-31,B02617,9558
2014-08-31,B02682,4342
2014-08-31,B02764,3049
